Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2021,Maruti,S PRESSO VXI+,998,No,Manual,46355,1,Petrol,10,1
2013,Maruti,Wagon R 1.0 LXI,998,No,Manual,51088,2,Petrol,0,0
2022,Maruti,Baleno ALPHA PETROL 1.2,1197,No,Manual,49533,1,Petrol,6,4
2019,Maruti,Baleno ZETA PETROL 1.2,1197,No,Manual,36262,1,Petrol,12,5
2014,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,69455,1,Petrol,20,3
2020,Maruti,New Wagon-R VXI 1.2,1197,Yes,Manual,48833,1,Petrol,9,3
2020,Maruti,New Wagon-R VXI (O) 1.2 AMT,1197,Yes,Automatic,26074,1,Petrol,1,0
2019,Maruti,Celerio ZXI AMT (O),998,No,Automatic,87744,1,Petrol,6,0
2014,Maruti,Celerio VXI AMT,998,Yes,Automatic,98335,1,Petrol,0,0
2018,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,76210,1,Petrol,3,1
2017,Maruti,Celerio ZXI AMT,998,Yes,Automatic,77481,2,Petrol,12,4
2014,Maruti,Wagon R 1.0 VXI,998,No,Manual,83098,2,Petrol,23,2
2017,Maruti,Celerio ZXI,998,Yes,Manual,81204,1,Petrol,14,5
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,97385,2,Petrol,8,3
2018,Maruti,IGNIS DELTA 1.2 AMT,1197,Yes,Automatic,33509,1,Petrol,12,1
2019,Maruti,New Wagon-R VXI 1.2,1197,Yes,Manual,49347,1,Petrol,1,1
2022,Maruti,New Wagon-R VXI 1.0 AMT,1197,No,Automatic,9301,1,Petrol,0,0
2021,Maruti,New Wagon-R VXI (O) 1.2 AMT,1197,No,Automatic,37541,1,Petrol,8,8
2020,Maruti,New Wagon-R ZXI 1.2,1197,Yes,Manual,52823,1,Petrol,13,6
2022,Maruti,S PRESSO VXI+,998,Yes,Manual,35049,1,Petrol,0,0
2020,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,1462,Yes,Manual,61765,2,Petrol,7,1
2019,Maruti,IGNIS DELTA 1.2,1197,No,Manual,72496,2,Petrol,9,6
2014,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,98723,2,Petrol,12,5
2021,Maruti,New Wagon-R VXI 1.0,998,Yes,Manual,40215,1,Petrol,3,0
2022,Maruti,Alto LXI O,796,Yes,Manual,26385,1,Petrol,2,2
